,ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
387,388,0.04,0.22,0.21,0.15,32.0,58.0,Acetone 2 ppm
388,389,0.04,0.43,0.21,0.15,32.0,58.0,Acetone 2 ppm
389,390,0.04,0.53,0.21,0.15,32.0,58.0,Acetone 2 ppm
390,391,0.04,0.52,0.21,0.15,32.0,58.0,Acetone 2 ppm
391,392,0.04,0.55,0.21,0.15,32.0,58.0,Acetone 2 ppm
392,393,0.04,0.65,0.23,0.15,32.0,58.0,Acetone 2 ppm
393,394,0.04,0.82,0.29,0.15,32.0,58.0,Acetone 2 ppm
394,395,0.04,0.91,0.31,0.15,32.0,58.0,Acetone 2 ppm
395,396,0.04,0.85,0.33,0.15,32.0,58.0,Acetone 2 ppm
396,397,0.04,0.83,0.36,0.16,32.0,58.0,Acetone 2 ppm
397,398,0.04,0.94,0.43,0.22,32.0,58.0,Acetone 2 ppm
398,399,0.04,1.09,0.51,0.43,32.0,58.0,Acetone 2 ppm
399,400,0.04,1.11,0.58,0.54,32.0,58.0,Acetone 2 ppm
400,401,0.04,1.18,0.63,0.84,32.0,58.0,Acetone 2 ppm
401,402,0.04,1.26,0.66,1.78,32.0,58.0,Acetone 2 ppm
402,403,0.04,1.3,0.71,2.38,32.0,58.0,Acetone 2 ppm
403,404,0.04,1.34,0.77,2.61,32.0,58.0,Acetone 2 ppm
404,405,0.04,1.38,0.85,2.66,32.0,58.0,Acetone 2 ppm
405,406,0.04,1.38,0.94,2.68,32.0,58.0,Acetone 2 ppm
406,407,0.04,1.35,1.05,2.78,32.0,58.0,Acetone 2 ppm
407,408,0.04,1.3,1.16,2.95,32.0,58.0,Acetone 2 ppm
408,409,0.04,1.24,1.24,3.13,32.0,58.0,Acetone 2 ppm
409,410,0.04,1.16,1.26,3.32,32.0,58.0,Acetone 2 ppm
410,411,0.04,1.12,1.26,3.47,32.0,58.0,Acetone 2 ppm
411,412,0.04,1.12,1.25,3.58,32.0,58.0,Acetone 2 ppm
412,413,0.04,1.16,1.23,3.63,32.0,58.0,Acetone 2 ppm
413,414,0.04,1.21,1.22,3.65,32.0,58.0,Acetone 2 ppm
414,415,0.04,1.26,1.22,3.63,32.0,58.0,Acetone 2 ppm
415,416,0.04,1.31,1.21,3.6,32.0,58.0,Acetone 2 ppm
416,417,0.04,1.34,1.2,3.59,32.0,58.0,Acetone 2 ppm
417,418,0.04,1.35,1.17,3.57,32.0,58.0,Acetone 2 ppm
418,419,0.04,1.32,1.12,3.6,32.0,58.0,Acetone 2 ppm
419,420,0.04,1.28,1.09,3.6,32.0,58.0,Acetone 2 ppm
420,421,0.04,1.25,1.04,3.58,32.0,58.0,Acetone 2 ppm
421,422,0.04,1.22,0.98,3.56,32.0,58.0,Acetone 2 ppm
422,423,0.04,1.2,0.92,3.53,32.0,58.0,Acetone 2 ppm
423,424,0.04,1.2,0.87,3.49,32.0,58.0,Acetone 2 ppm
424,425,0.04,1.19,0.84,3.46,32.0,58.0,Acetone 2 ppm
425,426,0.04,1.15,0.8,3.41,32.0,58.0,Acetone 2 ppm
426,427,0.04,1.08,0.77,3.34,32.0,58.0,Acetone 2 ppm
427,428,0.04,1.01,0.74,3.28,32.0,58.0,Acetone 2 ppm
428,429,0.04,1.0,0.71,3.24,32.0,58.0,Acetone 2 ppm
429,430,0.04,0.99,0.68,3.19,32.0,58.0,Acetone 2 ppm
430,431,0.04,0.92,0.65,3.15,32.0,58.0,Acetone 2 ppm
431,432,0.04,0.9,0.62,3.11,32.0,58.0,Acetone 2 ppm
432,433,0.04,0.89,0.59,3.06,32.0,58.0,Acetone 2 ppm
433,434,0.04,0.88,0.57,3.01,32.0,58.0,Acetone 2 ppm
434,435,0.05,0.87,0.55,2.95,32.0,58.0,Acetone 2 ppm
435,436,0.11,0.86,0.53,2.88,32.0,58.0,Acetone 2 ppm
436,437,0.12,0.83,0.51,2.82,32.0,58.0,Acetone 2 ppm
437,438,0.37,0.8,0.49,2.77,32.0,58.0,Acetone 2 ppm
438,439,1.32,0.76,0.47,2.7,32.0,58.0,Acetone 2 ppm
439,440,2.06,0.75,0.45,2.64,32.0,58.0,Acetone 2 ppm
440,441,2.36,0.71,0.44,2.58,32.0,58.0,Acetone 2 ppm
441,442,2.31,0.66,0.42,2.51,32.0,58.0,Acetone 2 ppm
442,443,2.31,0.63,0.41,2.44,32.0,58.0,Acetone 2 ppm
443,444,2.45,0.6,0.4,2.37,32.0,58.0,Acetone 2 ppm
444,445,2.4,0.57,0.38,2.28,32.0,58.0,Acetone 2 ppm
445,446,2.5,0.55,0.37,2.18,32.0,58.0,Acetone 2 ppm
446,447,3.04,0.52,0.36,2.07,32.0,58.0,Acetone 2 ppm
447,448,2.87,0.49,0.35,1.96,32.0,58.0,Acetone 2 ppm
448,449,3.0,0.47,0.34,1.85,32.0,58.0,Acetone 2 ppm
449,450,2.92,0.45,0.34,1.75,32.0,58.0,Acetone 2 ppm
450,451,2.55,0.43,0.33,1.66,32.0,58.0,Acetone 2 ppm
451,452,2.28,0.42,0.32,1.55,32.0,58.0,Acetone 2 ppm
452,453,1.86,0.4,0.32,1.45,32.0,58.0,Acetone 2 ppm
453,454,2.36,0.38,0.31,1.36,32.0,58.0,Acetone 2 ppm
454,455,2.7,0.37,0.31,1.28,32.0,58.0,Acetone 2 ppm
455,456,2.37,0.36,0.3,1.2,32.0,58.0,Acetone 2 ppm
