ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
1401,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1402,0.06,0.16,0.23,0.26,38,42,Acetone 5 ppm
1403,0.06,0.16,0.23,0.26,38,42,Acetone 5 ppm
1404,0.06,0.16,0.23,0.26,38,42,Acetone 5 ppm
1405,0.06,0.16,0.23,0.26,38,42,Acetone 5 ppm
1406,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1407,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1408,0.06,0.16,0.23,0.26,38,42,Acetone 5 ppm
1409,0.06,0.16,0.23,0.26,38,42,Acetone 5 ppm
1410,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1411,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1412,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1413,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1414,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1415,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1416,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1417,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1418,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1419,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1420,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1421,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1422,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1423,0.06,0.16,0.23,0.26,38,42,Acetone 5 ppm
1424,0.06,0.16,0.23,0.27,38,42,Acetone 5 ppm
1425,0.06,0.15,0.23,0.26,38,42,Acetone 5 ppm
1426,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1427,0.06,0.15,0.23,0.26,38,42,Acetone 5 ppm
1428,0.06,0.15,0.23,0.26,38,42,Acetone 5 ppm
1429,0.06,0.15,0.23,0.26,38,42,Acetone 5 ppm
1430,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1431,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1432,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1433,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1434,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1435,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1436,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1437,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1438,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1439,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1440,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1441,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1442,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1443,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1444,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1445,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1446,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1447,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1448,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1449,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1450,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1451,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1452,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1453,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1454,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1455,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1456,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
1457,0.06,0.15,0.23,0.27,38,41,Acetone 5 ppm
1458,0.06,0.15,0.23,0.27,38,42,Acetone 5 ppm
