ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
280,,,0.23,,38,42,Acetone 1 ppm
281,,,,,,,
282,0.06,0.14,0.22,0.17,30,61,Acetone 2 ppm
283,0.05,0.14,0.22,0.17,30,61,Acetone 2 ppm
284,0.05,0.14,0.22,0.17,30,61,Acetone 2 ppm
285,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
286,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
287,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
288,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
289,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
290,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
291,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
292,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
293,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
294,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
295,0.04,0.14,0.22,0.16,30,61,Acetone 2 ppm
296,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
297,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
298,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
299,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
300,0.05,0.14,0.22,0.16,30,61,Acetone 2 ppm
301,0.04,0.14,0.22,0.16,30,61,Acetone 2 ppm
302,0.04,0.14,0.22,0.16,30,61,Acetone 2 ppm
303,0.04,0.14,0.22,0.16,30,61,Acetone 2 ppm
304,0.04,0.14,0.22,0.16,30,61,Acetone 2 ppm
305,0.04,0.14,0.22,0.16,30,61,Acetone 2 ppm
306,0.04,0.14,0.22,0.16,30,61,Acetone 2 ppm
307,0.04,0.14,0.22,0.16,30,61,Acetone 2 ppm
308,0.04,0.14,0.22,0.15,30,61,Acetone 2 ppm
309,0.04,0.14,0.22,0.15,30,61,Acetone 2 ppm
310,0.04,0.14,0.22,0.15,30,61,Acetone 2 ppm
311,0.04,0.14,0.22,0.15,30,61,Acetone 2 ppm
312,0.04,0.13,0.22,0.15,30,61,Acetone 2 ppm
313,0.04,0.13,0.22,0.15,30,61,Acetone 2 ppm
314,0.04,0.14,0.22,0.15,30,61,Acetone 2 ppm
315,0.04,0.13,0.22,0.15,30,61,Acetone 2 ppm
316,0.04,0.13,0.22,0.15,30,61,Acetone 2 ppm
317,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
318,0.04,0.13,0.22,0.15,30,61,Acetone 2 ppm
319,0.04,0.13,0.22,0.15,30,61,Acetone 2 ppm
320,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
321,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
322,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
323,0.04,0.13,0.22,0.15,30,61,Acetone 2 ppm
324,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
325,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
326,0.04,0.13,0.22,0.15,30,61,Acetone 2 ppm
327,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
328,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
329,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
330,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
331,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
332,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
333,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
334,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
335,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
336,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
337,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
338,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
339,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
340,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
341,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
342,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
343,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
344,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
345,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
346,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
347,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
348,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
349,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
350,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
351,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
352,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
353,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
354,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
355,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
356,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
357,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
358,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
359,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
360,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
361,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
362,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
363,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
364,0.04,0.13,0.21,0.15,30,61,Acetone 2 ppm
365,0.04,0.13,0.21,0.15,32,61,Acetone 2 ppm
366,0.04,0.13,0.21,0.15,32,61,Acetone 2 ppm
367,0.04,0.13,0.21,0.15,32,58,Acetone 2 ppm
368,0.04,0.13,0.21,0.15,32,58,Acetone 2 ppm
369,0.04,0.13,0.21,0.15,32,58,Acetone 2 ppm
370,0.04,0.13,0.21,0.15,32,58,Acetone 2 ppm
371,0.04,0.13,0.21,0.15,32,58,Acetone 2 ppm
372,0.04,0.13,0.21,0.15,32,58,Acetone 2 ppm
373,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
374,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
375,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
376,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
377,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
378,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
379,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
380,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
381,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
382,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
383,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
384,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
385,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
386,0.04,0.14,0.21,0.15,32,58,Acetone 2 ppm
387,0.04,0.16,0.21,0.15,32,58,Acetone 2 ppm
388,0.04,0.22,0.21,0.15,32,58,Acetone 2 ppm
389,0.04,0.43,0.21,0.15,32,58,Acetone 2 ppm
390,0.04,0.53,0.21,0.15,32,58,Acetone 2 ppm
391,0.04,0.52,0.21,0.15,32,58,Acetone 2 ppm
392,0.04,0.55,0.21,0.15,32,58,Acetone 2 ppm
393,0.04,0.65,0.23,0.15,32,58,Acetone 2 ppm
394,0.04,0.82,0.29,0.15,32,58,Acetone 2 ppm
395,0.04,0.91,0.31,0.15,32,58,Acetone 2 ppm
396,0.04,0.85,0.33,0.15,32,58,Acetone 2 ppm
397,0.04,0.83,0.36,0.16,32,58,Acetone 2 ppm
398,0.04,0.94,0.43,0.22,32,58,Acetone 2 ppm
399,0.04,1.09,0.51,0.43,32,58,Acetone 2 ppm
400,0.04,1.11,0.58,0.54,32,58,Acetone 2 ppm
401,0.04,1.18,0.63,0.84,32,58,Acetone 2 ppm
402,0.04,1.26,0.66,1.78,32,58,Acetone 2 ppm
403,0.04,1.3,0.71,2.38,32,58,Acetone 2 ppm
404,0.04,1.34,0.77,2.61,32,58,Acetone 2 ppm
405,0.04,1.38,0.85,2.66,32,58,Acetone 2 ppm
406,0.04,1.38,0.94,2.68,32,58,Acetone 2 ppm
407,0.04,1.35,1.05,2.78,32,58,Acetone 2 ppm
408,0.04,1.3,1.16,2.95,32,58,Acetone 2 ppm
409,0.04,1.24,1.24,3.13,32,58,Acetone 2 ppm
410,0.04,1.16,1.26,3.32,32,58,Acetone 2 ppm
411,0.04,1.12,1.26,3.47,32,58,Acetone 2 ppm
412,0.04,1.12,1.25,3.58,32,58,Acetone 2 ppm
413,0.04,1.16,1.23,3.63,32,58,Acetone 2 ppm
414,0.04,1.21,1.22,3.65,32,58,Acetone 2 ppm
415,0.04,1.26,1.22,3.63,32,58,Acetone 2 ppm
416,0.04,1.31,1.21,3.6,32,58,Acetone 2 ppm
417,0.04,1.34,1.2,3.59,32,58,Acetone 2 ppm
418,0.04,1.35,1.17,3.57,32,58,Acetone 2 ppm
419,0.04,1.32,1.12,3.6,32,58,Acetone 2 ppm
420,0.04,1.28,1.09,3.6,32,58,Acetone 2 ppm
421,0.04,1.25,1.04,3.58,32,58,Acetone 2 ppm
422,0.04,1.22,0.98,3.56,32,58,Acetone 2 ppm
423,0.04,1.2,0.92,3.53,32,58,Acetone 2 ppm
424,0.04,1.2,0.87,3.49,32,58,Acetone 2 ppm
425,0.04,1.19,0.84,3.46,32,58,Acetone 2 ppm
426,0.04,1.15,0.8,3.41,32,58,Acetone 2 ppm
427,0.04,1.08,0.77,3.34,32,58,Acetone 2 ppm
428,0.04,1.01,0.74,3.28,32,58,Acetone 2 ppm
429,0.04,1,0.71,3.24,32,58,Acetone 2 ppm
430,0.04,0.99,0.68,3.19,32,58,Acetone 2 ppm
431,0.04,0.92,0.65,3.15,32,58,Acetone 2 ppm
432,0.04,0.9,0.62,3.11,32,58,Acetone 2 ppm
433,0.04,0.89,0.59,3.06,32,58,Acetone 2 ppm
434,0.04,0.88,0.57,3.01,32,58,Acetone 2 ppm
435,0.05,0.87,0.55,2.95,32,58,Acetone 2 ppm
436,0.11,0.86,0.53,2.88,32,58,Acetone 2 ppm
437,0.12,0.83,0.51,2.82,32,58,Acetone 2 ppm
438,0.37,0.8,0.49,2.77,32,58,Acetone 2 ppm
439,1.32,0.76,0.47,2.7,32,58,Acetone 2 ppm
440,2.06,0.75,0.45,2.64,32,58,Acetone 2 ppm
